Id,A,B,C,D,E,F,G,H,I,Air Quality
367,13.7,4.6,37.7,27.2,18.2,53.8,0.89,44.2,197,3
368,10.8,4.9,9.8,27.6,19.2,44.8,1.01,10.1,407,3
369,16.3,14.6,19.8,36.3,22.1,60.8,1.27,29.7,495,2
370,4.0,19.8,16.5,33.9,30.4,78.3,1.73,31.2,411,1
371,4.1,6.9,20.0,33.2,37.4,92.5,1.62,35.6,655,1
372,16.6,15.5,1.7,35.1,35.3,81.6,1.72,11.2,438,1
373,5.4,17.0,6.9,34.3,29.1,77.6,1.87,14.1,694,1
374,3.9,19.7,5.0,33.3,29.8,92.2,1.41,25.3,494,1
375,12.8,7.7,9.7,26.8,13.4,65.2,0.81,15.8,282,3
376,5.5,10.8,10.8,28.4,26.7,86.1,1.26,26.9,674,2
377,8.1,21.9,108.8,38.0,23.3,70.0,2.28,132.1,616,1
378,3.3,3.6,19.6,31.3,31.8,80.6,2.53,32.6,662,1
379,10.9,8.4,4.1,25.2,27.6,62.9,1.03,12.3,276,3
380,12.2,8.9,16.8,27.6,27.7,69.8,1.74,30.0,564,2
381,10.5,4.5,5.6,23.1,21.2,77.7,0.9,11.8,385,3
382,5.3,18.5,153.9,40.9,37.4,76.9,3.4,176.5,821,0
383,3.0,19.9,74.5,35.0,38.8,72.8,2.27,92.2,623,0
384,8.9,7.5,1.0,29.5,26.1,60.6,1.55,18.5,438,2
385,8.8,8.4,5.2,25.1,27.3,51.5,1.7,14.8,551,2
386,6.0,17.8,2.8,34.9,29.1,78.5,1.47,19.1,534,2
387,7.6,11.7,7.0,28.5,31.0,63.1,1.28,11.9,663,2
388,5.2,6.1,2.9,30.3,20.8,52.8,1.12,12.3,642,2
389,12.6,3.4,17.4,24.8,24.2,78.7,0.74,21.7,580,3
390,6.0,11.2,15.9,25.9,29.6,63.5,1.44,23.5,394,2
391,14.6,5.1,2.2,24.5,10.9,70.4,0.94,9.0,228,3
392,5.6,22.7,28.1,38.9,48.8,61.8,2.19,52.2,538,1
393,10.4,3.9,3.5,34.1,21.9,76.7,1.23,10.5,299,3
394,3.4,28.5,13.3,36.6,28.7,97.4,2.04,31.4,678,1
395,4.0,21.7,17.7,28.6,34.3,84.4,2.42,33.8,712,1
396,11.2,5.7,10.1,32.8,26.7,74.0,0.85,15.5,199,3
397,13.5,10.1,3.9,38.2,23.6,59.2,1.39,19.5,648,2
398,6.7,9.8,8.4,31.7,24.7,70.0,1.35,19.9,438,2
399,10.6,1.9,6.5,24.0,18.4,64.7,1.0,10.9,455,3
400,5.6,4.5,1.9,27.8,39.1,76.1,1.97,10.1,479,2
401,5.1,10.5,5.1,36.5,27.9,90.3,2.12,31.6,630,1
402,5.7,15.1,48.1,32.6,30.2,64.2,1.54,51.6,355,2
403,4.7,21.5,13.2,35.2,36.4,80.2,1.69,19.1,546,1
404,5.4,7.2,29.3,23.2,20.6,72.9,1.36,39.3,299,2
405,10.1,5.5,11.8,18.5,12.9,54.2,1.14,19.9,314,3
406,10.6,6.9,5.7,32.6,11.3,69.9,0.99,14.7,536,3
407,7.4,16.8,23.3,32.8,23.4,71.6,1.75,30.3,632,2
408,10.8,5.3,8.0,24.4,17.0,53.9,0.84,13.3,335,3
409,10.1,4.3,14.4,21.9,17.5,74.0,1.07,19.4,483,3
410,2.6,25.9,40.0,45.9,42.0,84.1,1.94,58.3,951,0
411,5.3,11.2,27.5,27.4,31.0,79.5,1.35,31.7,367,2
412,5.6,13.5,3.4,31.8,20.9,81.3,1.19,12.6,494,2
413,5.6,15.1,7.3,28.7,17.2,66.8,1.28,15.0,593,2
414,5.2,6.8,25.8,30.8,18.1,66.2,1.0,28.9,603,2
415,5.6,11.2,4.4,25.4,23.9,77.4,1.5,16.3,652,2
416,6.1,12.9,23.4,31.0,31.7,73.1,1.57,32.4,464,2
417,14.3,4.1,10.3,24.1,20.0,61.0,0.94,15.5,203,3
418,5.8,9.7,55.6,32.5,29.6,75.0,1.7,61.0,455,1
419,4.6,25.8,65.2,36.2,16.6,71.8,3.29,79.4,493,0
420,8.2,11.4,88.9,27.9,35.9,65.4,1.99,96.5,718,1
421,7.0,6.4,3.9,29.3,21.9,79.8,1.72,13.9,337,2
422,11.6,4.0,5.8,28.3,20.5,64.4,0.98,11.8,485,3
423,11.2,6.9,55.9,23.4,20.9,67.7,0.93,57.8,364,3
424,5.7,11.2,65.9,26.1,30.2,73.1,1.6,69.0,529,2
425,3.8,8.9,7.1,39.1,35.5,85.2,2.21,27.9,622,1
426,2.7,24.3,23.1,36.9,37.4,106.5,2.3,34.7,726,0
427,12.0,8.4,5.8,33.4,38.2,69.8,1.66,14.5,444,1
428,12.8,7.9,2.4,24.3,26.0,74.5,1.09,8.1,329,3
429,11.6,15.4,10.5,30.9,35.2,78.3,1.35,24.0,326,2
430,11.2,4.1,7.1,25.8,26.5,70.1,0.94,10.7,344,3
431,10.9,9.1,11.4,29.3,26.7,67.6,0.83,16.8,488,3
432,6.0,9.3,22.0,37.7,17.9,78.2,1.97,25.8,697,2
433,5.5,15.0,74.2,33.4,40.3,88.2,1.83,91.6,656,1
434,8.9,10.2,0.3,23.0,23.0,79.9,1.73,9.8,264,2
435,3.9,18.9,1.5,43.1,31.9,102.0,2.2,12.4,492,1
436,6.3,20.9,6.0,23.4,21.1,86.5,2.44,21.3,505,1
437,6.3,12.4,18.4,31.7,37.2,78.9,1.3,33.4,500,2
438,4.8,16.2,2.6,44.3,35.0,88.4,2.31,13.3,757,1
439,11.0,3.1,27.1,24.3,23.4,76.5,0.98,34.1,387,3
440,18.8,1.6,15.0,21.9,18.2,71.4,1.0,19.3,505,3
441,6.1,13.4,66.3,36.3,25.3,54.9,1.29,75.5,413,2
442,5.1,20.0,41.6,37.3,33.0,86.8,2.09,62.9,734,0
443,12.1,7.6,7.8,21.2,19.7,55.9,1.14,10.7,436,3
444,13.3,6.9,0.3,24.4,17.0,67.7,0.93,4.3,370,3
445,6.1,4.5,20.9,27.1,35.1,88.3,1.75,25.4,506,2
446,4.4,11.8,108.6,35.0,38.5,101.3,2.22,124.5,511,1
447,3.3,21.8,17.7,39.6,38.1,72.4,2.31,29.3,790,0
448,12.3,2.8,4.1,27.4,17.5,73.3,1.14,8.8,337,3
449,7.5,9.9,23.2,26.4,17.2,53.4,1.29,33.9,392,2
450,6.4,8.8,15.2,29.1,25.4,52.3,1.47,32.4,663,2
451,11.6,3.7,6.7,31.5,15.6,48.2,1.29,11.7,269,3
452,10.6,5.5,12.1,30.6,14.8,71.3,1.01,16.0,500,3
453,4.2,12.9,27.8,32.5,41.6,80.7,1.74,41.2,623,1
454,6.4,7.4,73.4,31.2,29.4,50.6,1.34,84.9,578,2
455,9.6,8.9,4.7,27.0,28.6,86.7,1.74,20.1,653,2
456,10.2,8.1,0.4,23.1,13.9,72.0,0.95,7.5,310,3
457,3.6,16.0,3.1,38.8,43.4,78.7,2.02,21.2,772,0
458,5.3,11.3,30.9,25.3,27.8,64.5,1.63,47.8,389,2
459,3.7,11.4,10.8,41.2,25.7,80.2,2.08,34.5,714,1
460,11.9,4.1,11.2,26.6,28.3,67.8,1.01,12.1,551,3
461,10.2,10.8,13.5,29.0,17.1,73.7,1.55,19.5,499,2
462,3.2,26.8,45.2,41.7,34.2,91.4,2.53,63.7,887,0
463,11.3,3.7,14.5,24.5,13.4,51.9,1.08,21.4,379,3
464,5.2,15.8,11.5,27.9,21.7,89.6,1.27,8.6,618,2
465,10.6,8.3,3.8,18.5,26.3,51.6,1.17,6.4,215,3
466,6.6,5.2,10.0,26.5,25.4,60.2,1.51,17.4,432,2
467,4.2,16.6,12.7,29.3,23.3,63.2,2.15,25.8,839,1
468,10.1,3.4,5.5,25.2,22.0,44.3,1.06,12.4,470,3
469,4.7,15.7,77.8,38.2,37.9,48.5,1.93,86.9,438,1
470,5.9,9.4,4.0,25.0,32.9,87.2,1.57,6.4,662,2
471,3.7,5.3,8.9,31.0,30.1,75.0,1.72,17.1,531,1
472,12.0,3.5,12.5,26.2,14.7,65.8,0.92,16.9,432,3
473,19.4,5.3,15.9,28.2,21.0,52.0,1.16,19.6,496,3
474,11.5,7.9,3.7,31.1,21.3,64.9,1.02,11.2,233,3
475,12.0,4.9,12.3,22.0,27.3,52.2,0.86,19.1,316,3
476,10.2,2.7,21.8,20.3,18.9,56.2,0.96,28.8,335,3
477,11.0,22.2,41.2,26.2,26.4,60.0,1.54,58.0,609,2
478,6.8,9.8,1.0,32.1,32.4,89.0,1.95,18.5,545,1
479,8.5,9.9,12.0,29.4,26.6,72.5,1.47,15.1,487,2
480,5.1,15.5,12.3,31.8,20.6,85.7,1.21,13.9,372,2
481,11.2,5.0,2.5,24.1,23.2,60.2,0.79,10.1,488,3
482,3.5,24.7,18.1,33.9,36.4,83.1,1.95,42.9,749,1
483,14.5,6.1,0.9,26.5,12.6,54.9,1.01,3.5,368,3
484,6.1,15.8,39.6,32.4,28.7,62.2,1.33,52.6,463,2
485,6.0,12.1,49.0,34.6,26.9,69.0,2.2,62.9,721,1
486,6.6,13.6,31.6,32.4,32.9,93.5,2.15,45.9,482,1
487,8.2,13.9,37.6,27.2,18.9,70.5,1.68,41.9,579,2
488,11.9,4.6,8.0,32.8,13.3,51.1,0.93,13.4,410,3
489,13.3,4.0,9.3,25.8,18.8,76.0,0.89,13.3,321,3
490,5.3,9.7,9.2,37.7,35.2,78.2,1.49,18.9,318,2
491,15.5,5.1,13.3,29.6,16.0,65.3,1.01,19.6,198,3
492,12.9,5.9,28.9,24.4,18.7,70.5,0.95,39.2,342,3
493,8.5,11.8,37.2,33.3,35.3,94.3,2.33,41.0,770,1
494,9.7,8.7,16.4,27.8,21.0,70.7,1.27,21.2,377,2
495,5.6,11.6,45.6,35.5,31.7,73.2,1.44,49.2,444,2
496,10.4,7.0,7.0,31.7,26.8,67.7,1.18,11.0,530,3
497,7.5,12.6,7.9,31.7,27.7,61.4,1.68,20.8,574,2
498,10.6,5.7,10.0,26.8,20.9,39.3,1.0,12.5,494,3
499,6.7,6.7,45.9,27.9,27.0,59.3,1.4,56.0,633,2
500,5.1,8.3,2.1,28.3,26.3,74.9,1.59,10.2,342,2
501,7.5,0.0,17.3,26.9,27.2,79.7,1.45,27.3,575,2
502,11.1,3.0,5.2,32.0,19.0,58.7,1.01,8.9,437,3
503,11.0,7.2,3.5,26.6,23.9,44.0,0.97,7.1,417,3
504,10.6,5.7,2.0,23.3,19.2,55.0,1.12,12.5,339,3
505,10.2,3.2,3.1,23.6,12.2,46.8,1.06,8.1,543,3
506,7.7,10.4,0.1,26.3,32.6,74.2,1.38,10.9,511,2
507,20.0,1.3,3.6,21.4,19.7,42.0,1.07,6.6,473,3
508,4.9,17.9,79.8,44.7,51.0,100.3,2.62,104.0,574,0
509,5.5,16.8,7.3,25.8,30.0,87.9,1.38,19.7,326,2
510,10.9,2.2,10.4,26.6,25.7,68.5,0.85,16.2,231,3
511,5.3,11.7,15.7,19.4,19.9,54.5,1.79,33.5,362,2
512,12.4,1.9,7.2,31.9,20.7,68.5,1.46,19.3,537,2
513,5.6,12.0,25.0,35.9,25.9,69.4,1.72,38.3,549,1
514,7.3,10.8,6.4,30.2,25.8,91.2,1.54,13.6,685,2
515,9.5,6.9,111.0,37.2,28.8,91.7,1.43,117.2,645,2
516,5.8,8.2,0.4,32.3,32.6,69.5,1.35,10.8,643,2
517,5.9,9.0,6.5,42.1,24.8,59.8,1.54,22.9,383,2
518,12.8,1.4,4.9,27.3,17.9,57.7,0.92,10.6,397,3
519,13.8,7.4,1.9,25.4,26.4,45.4,1.02,9.7,558,3
520,5.6,15.8,31.9,28.1,21.3,89.9,1.72,39.6,697,2
521,3.7,12.7,6.8,36.1,31.5,82.0,2.43,15.7,767,1
522,12.2,5.7,22.8,29.4,14.3,68.8,1.07,25.4,358,3
523,7.6,9.4,0.7,28.2,27.3,63.5,1.65,13.0,531,2
524,10.4,6.2,3.9,26.7,23.5,67.6,0.99,7.9,366,3
525,5.7,4.6,7.5,24.4,28.1,79.0,1.49,10.3,473,2
526,5.3,20.8,70.4,31.4,39.2,97.3,1.83,97.4,480,1
527,3.5,16.3,28.2,33.7,41.2,49.4,1.85,36.7,568,1
528,5.2,17.0,18.3,29.7,30.6,61.4,1.42,31.4,396,2
529,14.8,7.1,9.8,26.1,25.6,58.4,0.89,16.3,458,3
530,3.7,18.3,70.7,39.7,30.8,95.9,2.3,74.9,422,1
531,8.6,18.5,13.5,28.0,23.7,88.7,0.94,25.9,546,2
532,15.1,0.6,52.1,28.3,28.9,39.7,0.99,56.7,384,3
533,3.9,3.3,40.7,32.2,18.8,83.0,1.76,55.0,669,1
534,13.1,5.0,5.7,22.2,19.7,78.5,1.15,7.5,514,3
535,5.9,13.2,24.8,32.5,29.1,85.1,1.89,46.3,599,0
536,12.2,2.6,0.0,28.5,26.2,47.7,1.13,5.3,474,3
537,6.7,15.7,57.9,32.7,22.9,56.0,1.32,68.6,542,2
538,5.3,21.4,7.7,28.5,25.6,59.7,1.46,15.5,423,2
539,5.4,21.3,18.5,33.2,23.0,80.6,1.84,32.1,793,1
540,7.7,12.7,36.0,27.5,21.3,81.3,1.66,45.5,395,2
541,7.2,7.2,1.7,32.3,33.5,91.2,2.33,15.7,535,1
542,8.5,23.4,134.5,45.4,46.3,104.7,3.36,155.1,736,0
543,5.6,8.8,24.9,27.4,30.7,63.2,1.5,35.3,631,2
544,8.7,11.0,27.0,30.8,18.5,85.8,1.54,29.1,466,2
545,10.2,4.1,13.5,28.4,18.2,48.3,1.2,15.7,503,3
546,6.6,3.8,3.4,28.2,18.2,55.4,1.2,13.1,296,2
547,10.5,9.7,1.2,23.6,24.5,55.5,1.03,2.2,349,3
548,10.1,5.0,22.9,24.7,14.4,46.2,0.78,25.0,356,3
549,10.5,4.9,13.1,22.1,15.6,64.6,0.99,17.7,468,3
550,4.3,12.4,10.0,32.9,39.7,97.0,2.24,32.7,640,0
551,3.5,8.6,43.9,38.5,39.8,81.3,1.55,52.4,670,1
552,4.2,14.6,17.3,46.4,46.5,63.7,2.26,28.0,658,1
553,5.1,14.7,40.2,30.2,20.3,62.1,1.76,47.5,574,2
554,6.6,7.6,2.3,41.7,22.4,64.8,1.22,11.2,452,2
555,3.8,16.2,13.5,40.9,37.5,80.9,2.38,26.8,630,1
556,4.4,19.2,8.9,50.4,36.5,85.1,2.4,33.5,778,0
557,12.2,6.8,2.6,23.8,18.7,54.2,1.12,5.1,351,3
558,11.5,7.5,4.7,23.2,26.3,60.0,0.98,7.3,535,3
559,10.1,4.6,23.6,22.0,19.0,50.9,1.02,28.9,303,3
560,7.0,34.1,12.6,41.9,41.2,75.9,3.04,26.2,543,0
561,11.1,7.0,21.5,21.7,12.2,50.0,1.13,25.1,311,3
562,3.5,16.4,66.1,41.3,40.0,85.7,1.29,93.4,424,1
563,10.8,4.8,2.8,28.1,18.2,39.9,1.08,7.6,470,3
564,10.5,5.0,1.1,25.0,17.9,49.7,1.15,5.4,447,3
565,4.3,17.0,7.3,36.8,33.2,82.8,1.9,17.9,678,1
566,11.2,4.3,27.5,25.9,26.0,78.4,1.03,33.5,360,3
567,16.3,4.6,8.6,20.3,14.7,75.5,0.99,14.6,297,3
568,12.4,6.3,21.7,25.8,13.6,77.7,0.85,29.9,549,3
569,5.6,6.4,28.6,25.9,23.1,87.6,1.46,47.1,490,2
570,17.6,3.2,4.7,26.1,19.3,46.3,1.18,10.9,471,3
571,7.6,9.5,22.9,25.4,38.3,81.0,1.59,36.8,543,2
572,6.5,13.9,4.7,36.5,30.3,78.5,1.33,11.3,412,2
573,10.1,2.0,4.8,28.8,17.7,42.9,0.87,12.8,561,3
574,4.6,4.2,14.1,28.0,28.4,76.0,2.3,25.0,740,1
575,2.8,21.0,9.1,38.7,40.2,98.8,2.33,30.9,827,0
576,5.5,9.2,21.4,26.9,22.2,59.1,1.14,33.0,398,2
577,11.6,4.3,3.5,24.7,14.6,51.4,0.85,9.4,215,3
578,6.8,11.4,6.0,31.4,22.0,51.5,1.29,15.4,370,2
579,3.7,23.6,29.2,34.4,54.4,103.1,3.37,42.2,614,0
580,6.4,1.6,7.1,36.3,22.7,69.3,1.44,15.6,542,2
581,5.5,18.3,65.6,31.6,33.8,77.8,1.59,82.8,641,1
582,11.2,3.4,0.5,29.3,25.0,56.4,0.88,1.5,407,3
583,4.5,20.7,16.1,31.1,31.7,116.9,2.73,35.6,544,0
584,5.6,21.0,4.7,34.4,47.6,100.9,2.01,14.1,771,0
585,8.0,10.0,12.2,29.5,26.8,53.5,1.49,22.2,438,2
586,12.7,7.1,0.8,28.6,19.4,66.0,1.11,4.2,490,3
587,4.6,13.1,58.5,36.9,39.1,84.6,1.96,75.7,609,1
588,4.2,15.4,49.9,35.7,19.0,91.0,1.94,50.3,539,1
589,14.7,7.2,7.9,29.0,24.2,71.5,1.13,8.1,532,3
590,13.5,3.5,6.9,22.9,11.8,71.3,1.0,12.0,485,3
591,15.0,4.7,24.7,23.6,17.1,56.0,1.1,29.9,540,3
592,11.2,6.9,12.4,30.9,13.7,76.7,0.73,16.2,579,3
593,3.5,17.0,11.2,37.3,36.6,82.2,1.91,32.1,831,1
594,3.8,19.9,53.2,30.7,34.6,64.8,1.91,65.6,391,1
595,6.7,18.7,95.7,42.2,42.7,87.6,2.59,115.6,707,0
596,5.1,4.8,58.3,33.7,42.9,63.2,1.43,78.3,505,1
597,15.5,13.3,13.2,30.9,27.7,85.8,1.58,20.0,300,2
598,10.2,2.4,5.5,19.7,20.6,51.1,1.17,13.2,359,3
599,5.7,10.0,22.3,34.0,20.3,88.6,1.53,35.3,333,2
600,11.7,2.3,13.7,33.7,19.6,59.5,1.02,21.5,511,3
601,12.6,5.5,7.2,23.6,19.0,52.0,1.01,11.9,581,3
602,3.6,9.6,13.5,37.7,38.4,64.9,2.23,27.2,641,1
603,5.5,10.1,4.7,29.8,21.9,75.7,1.48,13.0,351,2
604,17.4,5.6,4.4,19.7,10.4,50.7,0.8,9.0,383,3
605,2.6,6.3,5.4,36.8,41.7,71.4,2.35,46.1,846,0
606,11.7,5.6,26.6,27.0,13.4,48.8,1.09,30.2,337,3
607,10.5,7.4,3.6,29.8,15.0,54.4,0.75,11.2,365,3
608,14.5,17.5,0.6,33.8,32.5,72.1,1.59,14.2,646,2
609,12.0,4.6,0.8,25.3,27.7,54.9,0.99,6.8,279,3
610,8.8,6.2,34.4,34.0,35.8,90.1,1.42,40.7,510,2
611,3.4,19.8,39.9,25.1,37.5,78.5,2.2,54.2,463,1
612,3.4,18.8,8.3,30.4,36.2,91.7,2.25,19.2,417,1
613,6.1,15.3,18.1,33.6,31.7,79.4,1.86,32.1,691,1
614,7.8,14.3,6.3,30.3,23.5,89.0,1.88,9.3,365,2
615,5.3,13.5,12.2,32.5,38.7,89.0,1.88,34.2,688,1
616,10.2,3.9,15.7,25.2,24.4,57.1,1.01,21.6,261,3
617,6.3,15.8,71.2,32.6,30.3,82.7,2.31,87.5,712,1
618,4.2,23.3,70.0,28.0,41.7,75.5,2.42,88.9,678,1
619,5.4,5.3,0.0,32.4,27.2,56.5,1.0,13.9,412,2
620,6.0,15.7,45.2,41.1,28.5,70.1,2.43,60.0,759,0
621,8.4,11.4,0.9,29.9,25.2,65.5,1.46,8.2,670,2
622,11.3,7.6,13.7,24.2,15.7,43.1,1.04,20.4,365,3
623,7.2,10.6,43.3,37.9,31.9,96.9,1.23,51.1,293,2
624,9.6,17.9,75.6,43.6,33.6,93.3,1.98,90.4,425,1
625,13.8,6.2,67.2,33.7,32.7,66.5,1.24,77.4,461,2
626,5.8,10.6,14.6,34.7,22.2,86.1,1.8,26.3,643,2
627,5.9,8.7,28.0,26.9,23.5,81.9,1.41,40.2,379,2
628,10.4,6.9,16.9,20.9,13.2,78.1,1.09,22.9,450,3
629,3.8,13.6,16.6,32.4,19.3,81.8,1.68,30.3,588,1
630,10.4,11.9,8.7,29.0,31.6,84.3,1.53,14.7,475,2
631,6.1,7.0,40.7,26.4,32.1,47.9,1.79,57.5,562,2
632,10.5,5.8,31.4,23.1,15.1,56.3,1.02,33.8,300,3
633,13.0,5.6,17.3,27.2,13.0,84.3,1.21,22.4,539,3
634,12.5,0.6,2.9,23.2,24.4,54.0,1.04,8.8,372,3
635,5.4,7.3,9.5,37.5,21.7,49.5,1.64,14.9,654,2
636,11.7,4.6,1.6,25.2,21.1,52.1,1.1,4.8,230,3
637,10.8,8.8,5.8,29.1,28.0,54.3,1.43,15.1,421,2
638,11.0,6.6,0.9,26.8,20.3,81.2,0.93,5.7,409,3
639,10.3,4.4,20.8,27.1,15.7,51.2,0.75,25.6,432,3
640,5.3,0.8,1.3,38.0,23.8,78.8,2.54,9.0,755,1
641,15.4,24.7,19.4,29.6,35.4,89.1,1.74,30.7,748,1
642,8.1,3.1,1.6,23.4,16.9,52.5,1.37,10.7,396,2
643,13.8,4.9,0.1,25.6,22.8,49.6,1.02,3.9,575,3
644,11.2,3.8,3.6,24.5,24.4,45.3,0.9,9.0,527,3
645,14.8,3.4,21.6,23.0,21.5,40.9,1.02,25.2,215,3
646,10.6,3.2,26.6,24.7,24.8,71.6,1.06,34.2,596,3
647,12.3,4.9,6.7,22.2,21.4,56.3,1.11,13.5,348,3
648,12.5,4.0,0.1,28.3,10.4,75.6,1.04,8.7,518,3
649,13.8,9.0,11.8,20.4,25.7,43.9,1.06,15.9,480,3
650,5.7,6.3,49.8,23.8,32.5,52.1,1.72,61.3,336,2
651,12.2,7.1,10.2,26.1,23.1,65.4,1.01,14.0,379,3
652,5.5,11.5,11.4,41.9,31.2,81.3,1.98,23.3,459,1
653,7.0,15.6,47.0,34.6,24.4,65.2,2.15,59.9,771,1
654,6.8,12.1,5.4,33.8,30.6,68.1,1.88,13.6,575,2
655,18.9,5.0,2.2,25.6,12.2,57.4,1.19,6.4,392,3
656,4.6,11.4,17.6,41.4,32.9,61.5,2.78,41.6,593,1
657,10.6,3.1,22.4,19.7,19.4,62.7,1.18,27.5,396,3
658,11.5,6.3,2.3,23.0,13.7,44.5,1.13,10.6,537,3
659,9.9,9.3,26.8,30.5,40.0,76.2,2.4,46.5,624,1
660,2.8,19.3,11.2,39.0,44.6,107.1,3.65,29.4,713,0
661,12.1,7.0,2.5,27.8,12.5,56.8,1.04,9.5,258,3
662,6.4,5.8,60.0,29.0,24.2,81.3,1.05,76.1,511,2
663,5.9,6.8,23.7,41.8,37.7,75.4,1.42,34.7,527,1
664,7.7,6.4,16.6,26.8,25.8,91.1,1.72,21.3,571,2
665,5.2,20.0,0.5,30.7,26.4,81.9,1.71,11.4,650,2
666,5.3,9.6,91.5,30.4,22.1,90.7,1.52,98.9,598,2
667,4.0,19.4,35.0,28.1,46.0,93.7,1.66,50.7,487,1
668,5.1,10.3,56.8,28.3,34.4,72.7,1.75,70.2,486,1
669,4.9,13.6,28.0,37.9,33.2,79.6,1.93,37.4,608,1
670,4.6,21.2,109.2,42.5,43.5,108.2,2.07,116.8,741,0
671,9.1,7.9,8.3,29.9,21.0,86.3,1.44,19.9,487,2
672,4.3,25.0,60.3,32.0,45.4,101.4,3.01,78.5,698,0
673,5.3,10.6,11.2,33.8,25.8,53.7,1.23,30.1,640,2
674,12.2,6.1,5.7,22.0,16.8,56.3,1.01,12.5,230,3
675,12.8,3.7,6.9,21.3,21.2,41.7,1.0,10.9,298,3
676,10.3,4.7,3.8,26.8,25.1,76.1,1.01,10.1,394,3
677,10.8,1.8,0.8,22.6,26.3,70.7,1.07,7.4,481,3
678,9.3,12.4,16.2,32.1,18.9,75.6,1.44,21.1,405,2
679,2.7,28.4,42.3,46.1,32.1,80.5,2.4,58.5,705,0
680,5.7,10.5,2.5,29.2,27.7,54.0,1.4,8.7,327,2
681,12.7,3.9,31.4,26.0,21.3,71.5,0.97,34.6,463,3
682,12.6,5.7,4.6,22.6,20.9,40.8,1.11,10.6,315,3
683,8.0,15.8,12.9,27.4,16.4,77.3,1.81,21.1,406,2
684,7.5,13.3,42.8,32.6,14.1,79.6,1.55,51.4,633,2
685,5.9,16.4,4.3,31.4,21.9,63.1,1.45,15.6,625,2
686,11.0,6.3,5.0,25.1,17.3,63.9,1.12,8.8,367,3
687,2.7,17.1,36.1,41.2,42.2,92.2,2.39,49.5,815,0
688,10.3,14.7,18.1,37.1,20.4,47.9,1.53,26.7,467,2
689,11.1,5.7,14.7,25.8,13.2,53.0,0.82,20.4,259,3
690,11.3,5.9,7.8,30.4,22.0,44.2,0.92,11.4,446,3
691,10.1,14.6,1.8,35.6,20.6,82.5,1.63,11.9,672,2
692,5.5,2.6,1.2,28.2,35.9,75.4,1.42,13.0,539,2
693,11.8,5.6,1.2,22.6,12.2,69.0,1.18,7.7,481,3
694,12.5,3.9,16.6,15.3,26.5,48.0,0.94,20.7,263,3
695,6.7,17.8,34.2,38.0,43.8,84.6,2.62,62.4,598,0
696,11.4,4.5,0.2,28.6,19.0,67.5,1.04,4.9,444,3
697,2.8,20.8,142.3,37.6,36.3,99.5,1.82,157.1,528,0
698,11.6,4.2,7.7,16.8,26.2,46.5,0.85,10.2,249,3
699,10.5,5.8,5.0,24.8,20.3,39.7,1.1,13.2,418,3
700,10.0,3.4,8.0,27.1,21.7,76.4,0.86,13.0,407,3
701,5.4,7.2,19.3,27.5,24.6,65.9,1.74,31.5,609,2
702,7.3,12.2,5.5,28.4,29.1,54.4,1.5,17.5,663,2
703,12.4,6.5,1.0,22.7,12.2,79.5,1.03,8.1,439,3
704,8.9,7.4,23.8,32.8,35.6,51.2,1.48,29.2,586,2
705,10.3,13.9,45.5,37.6,27.7,47.8,1.25,49.8,511,2
706,5.8,9.0,21.5,38.8,21.2,64.6,1.48,31.9,545,2
707,7.9,9.9,17.5,30.5,26.3,74.7,1.61,22.8,441,2
708,16.0,3.7,15.2,20.7,15.8,77.0,0.96,20.3,368,3
709,15.0,7.8,6.5,21.6,21.8,46.5,1.03,15.7,602,3
710,7.0,14.4,22.6,26.0,33.3,64.3,1.48,38.3,359,2
711,11.6,4.8,24.3,27.4,23.8,61.2,0.98,32.1,345,3
712,10.3,3.0,0.0,21.9,20.0,60.3,0.92,3.1,396,3
713,6.7,10.9,1.5,19.8,28.9,75.8,0.94,6.7,636,2
714,13.7,6.8,3.6,29.8,17.0,67.7,1.01,12.7,550,3
715,5.0,17.4,75.8,47.3,36.3,75.6,1.76,92.0,503,1
716,6.0,20.2,1.5,47.2,34.4,76.9,2.45,27.0,939,0
717,3.8,11.8,106.5,33.2,34.7,84.3,2.29,127.3,586,1
718,10.6,9.8,6.0,26.3,24.2,49.6,1.06,8.9,199,3
719,3.4,9.1,37.1,34.5,28.7,60.8,2.04,47.4,484,1
720,6.2,12.0,1.6,33.7,34.3,83.2,2.59,25.2,551,1
721,5.1,13.7,18.3,36.4,30.5,58.0,1.49,23.6,363,2
722,8.2,11.8,8.4,34.9,32.8,66.8,1.21,20.7,623,2
723,5.2,12.7,19.6,37.8,22.2,74.6,1.4,29.0,417,2
724,11.8,4.4,4.9,23.1,17.7,71.0,1.01,9.9,342,3
725,15.0,4.2,8.9,29.0,26.2,39.7,0.97,16.2,250,3
726,10.7,-0.2,31.1,24.4,16.4,63.7,0.99,34.2,501,3
727,18.8,6.6,14.0,25.8,23.3,78.2,1.01,20.2,576,3
728,6.1,4.8,105.9,31.5,22.4,61.9,1.16,105.0,577,2
729,11.9,4.0,4.1,24.4,23.7,44.8,0.91,7.4,241,3
730,7.8,11.5,55.7,31.4,24.1,79.4,1.46,62.7,361,2
731,12.0,11.7,4.2,26.7,18.9,72.4,1.45,16.3,527,2
732,10.2,8.9,7.0,24.9,24.5,66.8,0.93,11.8,388,3
733,3.8,26.0,31.8,42.8,32.4,78.6,1.98,44.5,598,1
